21c66e1,Graham Wakefield,Tue, 3 Apr 2018 21:12:51 -0400
f68dbca,Graham Wakefield,Tue, 3 Apr 2018 21:12:47 -0400
1a0cc26,Graham Wakefield,Tue, 3 Apr 2018 21:11:48 -0400
51dd2c3,Graham Wakefield,Tue, 3 Apr 2018 21:07:41 -0400
a14a637,Graham Wakefield,Tue, 3 Apr 2018 21:02:02 -0400
80466e1,Graham Wakefield,Tue, 3 Apr 2018 20:57:57 -0400
2657a36,Graham Wakefield,Tue, 3 Apr 2018 20:50:46 -0400
a88fadf,Graham Wakefield,Tue, 3 Apr 2018 20:47:10 -0400
e6fab9d,Graham Wakefield,Tue, 3 Apr 2018 20:46:41 -0400
9d7aa44,Graham Wakefield,Tue, 3 Apr 2018 20:45:54 -0400
3f7f7dd,Graham Wakefield,Tue, 3 Apr 2018 19:19:23 -0400
00c5e0d,Graham Wakefield,Tue, 3 Apr 2018 16:18:16 -0400
a9413fe,michaelpalumbo,Tue, 3 Apr 2018 15:32:39 -0400
2542a2e,Graham Wakefield,Tue, 3 Apr 2018 12:54:29 -0400
8ac7dcc,michaelpalumbo,Mon, 2 Apr 2018 18:06:24 -0400
90bc3ac,michaelpalumbo,Mon, 2 Apr 2018 18:04:58 -0400
674c8ee,michaelpalumbo,Mon, 2 Apr 2018 18:02:21 -0400
bd7a02a,michaelpalumbo,Mon, 2 Apr 2018 17:05:30 -0400
28c0f2d,michaelpalumbo,Mon, 2 Apr 2018 17:04:44 -0400
0eaf63d,michaelpalumbo,Mon, 2 Apr 2018 16:27:28 -0400
d5f91e9,michaelpalumbo,Mon, 2 Apr 2018 16:22:03 -0400
fe62c3d,michaelpalumbo,Mon, 2 Apr 2018 16:14:22 -0400
0a7656a,michaelpalumbo,Mon, 2 Apr 2018 16:14:09 -0400
0640bbc,michaelpalumbo,Mon, 2 Apr 2018 16:13:40 -0400
cd2d491,michaelpalumbo,Mon, 2 Apr 2018 16:13:34 -0400
fea80d3,michaelpalumbo,Mon, 2 Apr 2018 16:12:20 -0400
b12987a,michaelpalumbo,Mon, 2 Apr 2018 16:11:29 -0400
eb52825,michaelpalumbo,Mon, 2 Apr 2018 16:09:57 -0400
157dace,michaelpalumbo,Mon, 2 Apr 2018 16:01:31 -0400
2bf8249,michaelpalumbo,Mon, 2 Apr 2018 16:00:38 -0400
f277f0a,michaelpalumbo,Mon, 2 Apr 2018 16:00:17 -0400
702a536,michaelpalumbo,Mon, 2 Apr 2018 15:51:36 -0400
1a9bc54,michaelpalumbo,Mon, 2 Apr 2018 15:27:25 -0400
f8a5641,michaelpalumbo,Mon, 2 Apr 2018 15:20:27 -0400
43ed9b8,michaelpalumbo,Mon, 2 Apr 2018 15:19:36 -0400
dd20fbf,michaelpalumbo,Mon, 2 Apr 2018 14:59:44 -0400
cdd1f33,michaelpalumbo,Mon, 2 Apr 2018 14:56:57 -0400
